"id_name","ID_code","Kingdom","Phylum","Class","Order","Family","Genus","species"
"Crambe_tailliezi","CRT","Animalia","Porifera","Demospongiae","Poecilosclerida","Crambeidae","Crambe","Crambe_tailliezi"
"Crella_pulvinar","CRPU","Animalia","Porifera","Demospongiae","Poecilosclerida","Crellidae","Crella","Crella_pulvinar"
"Dendroxea_lenis","DELE","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Dendroxea","Dendroxea_lenis"
"Dictyonella_sp","DISP","Animalia","Porifera","Demospongiae","Halichondrida","Dictyonellidae","Dictyonella","Dictyonella_sp"
"Dysidea_avara","DYAV","Animalia","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea_avara"
"Dysidea_fragilis","DYFR","Animalia","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea_fragilis"
"Guancha_lacunosa","GULA","Animalia","Porifera","Calcarea","Clathrinida","Clathrinidae","Guancha","Guancha_lacunosa"
"Haliclona_sp","HALI","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona_sp"
"Haliclona_mediterranea","HAME","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona_mediterranea"
"Haliclona_poecillastroides","HAPO","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona_poecillastroides"
"Hemimycale_columella","HECO","Animalia","Porifera","Demospongiae","Poecilosclerida","Hymedesmiidae","Hemimycale","Hemimycale_columella"
"Hexadella_pruvoti","HEPR","Animalia","Porifera","Demospongiae","Verongida","Ianthellidae","Hexadella","Hexadella_pruvoti"
"Hexadella_racovitzai","HERA","Animalia","Porifera","Demospongiae","Verongida","Ianthellidae","Hexadella","Hexadella_racovitzai"
"Ircinia_oros","IROR","Animalia","Porifera","Demospongiae","Dictyoceratida","Irciniidae","Ircinia","Ircinia_oros"
"Ircinia_variabilis","IRVA","Animalia","Porifera","Demospongiae","Dictyoceratida","Irciniidae","Ircinia","Ircinia_variabilis"
"Myxilla_incrustans","MYIN","Animalia","Porifera","Demospongiae","Poecilosclerida","Myxillidae","Myxilla","Myxilla_incrustans"
"Myxilla_rosacea","MYRO","Animalia","Porifera","Demospongiae","Poecilosclerida","Myxillidae","Myxilla","Myxilla_rosacea"
"Oscarella_sp","OSSP","Animalia","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella_sp"
"Petrosia_ficiformis","PEFI","Animalia","Porifera","Demospongiae","Haplosclerida","Petrosiidae","Petrosia","Petrosia_ficiformis"
"Phorbas_fictitius","PHFI","Animalia","Porifera","Demospongiae","Poecilosclerida","Hymedesmiidae","Phorbas","Phorbas_fictitius"
"Phorbas_tenacior","PHTE","Animalia","Porifera","Demospongiae","Poecilosclerida","Hymedesmiidae","Phorbas","Phorbas_tenacior"
"Pleraplysilla_spinifera","PLSP","Animalia","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Pleraplysilla","Pleraplysilla_spinifera"
"Raspaciona_aculeate","RAAC","Animalia","Porifera","Demospongiae","Poecilosclerida","Raspailiidae","Raspaciona","Raspaciona_aculeate"
